# x,top,bottom,cryosphere,recharge
1.385000000000000120e-01,8.377086996551705855e-01,2.576385748092603900e-01,6.952495821357380645e-01,nan
1.395000000000000129e-01,8.384070973265114191e-01,2.585339635690547810e-01,6.959749010951375991e-01,nan
1.405000000000000138e-01,8.391054949978522526e-01,2.594780140957266279e-01,6.967002200545371338e-01,nan
1.415000000000000147e-01,8.398038926691930861e-01,2.604497167235298449e-01,6.974255390139366684e-01,nan
1.425000000000000155e-01,8.405022903405339196e-01,2.614214193513330065e-01,6.981508579733362030e-01,nan
1.435000000000000164e-01,8.412006880118747532e-01,2.623931219791362235e-01,6.988761769327358486e-01,nan
1.444999999999999896e-01,8.417265259303219338e-01,2.633648246069393850e-01,6.996014958921353832e-01,nan
1.454999999999999905e-01,8.421544355391544778e-01,2.643365272347426020e-01,7.003268148515349178e-01,nan
1.464999999999999913e-01,8.425823451479869108e-01,2.653082298625458191e-01,7.011091212078144341e-01,nan
1.474999999999999922e-01,8.430102547568194549e-01,2.662799324903490361e-01,7.019685250049353398e-01,nan
1.484999999999999931e-01,8.434381643656519989e-01,2.672516351181521976e-01,7.028279288020563564e-01,nan
1.494999999999999940e-01,8.438660739744844319e-01,2.682233377459554147e-01,7.036873325991772621e-01,nan
1.504999999999999949e-01,8.442939835833169759e-01,2.691950403737586317e-01,7.045467363962982787e-01,nan
1.514999999999999958e-01,8.447218931921494089e-01,2.701667430015617932e-01,7.054061401934191844e-01,nan
1.524999999999999967e-01,8.451498028009819530e-01,2.711384456293650103e-01,7.062655439905402011e-01,nan
1.534999999999999976e-01,8.455777124098144970e-01,2.721101482571682273e-01,7.071249477876611067e-01,nan
1.544999999999999984e-01,8.471550379683197018e-01,2.730818508849714443e-01,7.079843515847820123e-01,nan
1.554999999999999993e-01,8.489969485633626078e-01,2.740535535127746058e-01,7.088437553819030290e-01,nan
1.565000000000000002e-01,8.508388591584056249e-01,2.750252561405778229e-01,7.097031591790239347e-01,nan
1.575000000000000011e-01,8.526807697534486419e-01,2.759969587683810399e-01,7.105625629761449513e-01,nan
1.585000000000000020e-01,8.545226803484915479e-01,2.769686613961842570e-01,7.114219667732658570e-01,nan
1.595000000000000029e-01,8.563645909435345649e-01,2.779403640239874185e-01,7.122813705703868736e-01,nan
1.605000000000000038e-01,8.582065015385775819e-01,2.789120666517906355e-01,7.131407743675077793e-01,nan
1.615000000000000047e-01,8.600484121336204879e-01,2.799155089945858932e-01,7.140001781646286849e-01,nan
1.625000000000000056e-01,8.611267263393014293e-01,2.809347310030925193e-01,7.148595819617497016e-01,nan
1.635000000000000064e-01,8.620813696869750187e-01,2.819539530115992010e-01,7.157189857588706072e-01,nan
1.645000000000000073e-01,8.630360130346486081e-01,2.829731750201058826e-01,7.165783895559916239e-01,nan
1.655000000000000082e-01,8.639906563823221974e-01,2.839923970286125643e-01,7.174377933531125295e-01,nan
1.665000000000000091e-01,8.649452997299957868e-01,2.850116190371192459e-01,7.182971971502335462e-01,nan
1.675000000000000100e-01,8.658999430776693762e-01,2.860308410456258721e-01,7.191566009473544518e-01,nan
1.685000000000000109e-01,8.668545864253429656e-01,2.870500630541325537e-01,7.200160047444753575e-01,nan
1.695000000000000118e-01,8.678092297730165550e-01,2.880692850626392354e-01,7.221086650602333012e-01,nan
1.705000000000000127e-01,8.687638731206901443e-01,2.890885070711459170e-01,7.252717055648606470e-01,nan
1.715000000000000135e-01,8.697185164683637337e-01,2.901077290796525432e-01,7.284347460694879928e-01,nan
1.725000000000000144e-01,8.706731598160373231e-01,2.911269510881592248e-01,7.315977865741153385e-01,nan
1.735000000000000153e-01,8.717309045389498579e-01,2.921461730966659065e-01,7.347608270787425733e-01,nan
1.745000000000000162e-01,8.727943609693898930e-01,2.925589120583875213e-01,7.379238675833699190e-01,nan
1.755000000000000171e-01,8.738578173998299281e-01,2.926797271775056775e-01,7.410869080879972648e-01,nan
1.764999999999999902e-01,8.749212738302698522e-01,2.928005422966238891e-01,7.442499485926244995e-01,nan
1.774999999999999911e-01,8.759847302607098873e-01,2.929213574157420452e-01,7.474129890972517343e-01,nan
1.784999999999999920e-01,8.770481866911499225e-01,2.930421725348602013e-01,7.505760296018790800e-01,nan
1.794999999999999929e-01,8.781116431215899576e-01,2.933710197612750536e-01,7.537390701065064258e-01,nan
1.804999999999999938e-01,8.791750995520299927e-01,2.950871364248108253e-01,7.569021106111336605e-01,nan
1.814999999999999947e-01,8.802385559824699168e-01,2.968032530883465969e-01,7.602805663814283799e-01,nan
1.824999999999999956e-01,8.813020124129099520e-01,2.985193697518823686e-01,7.642933846563848554e-01,nan
1.834999999999999964e-01,8.823654688433499871e-01,3.002354864154181402e-01,7.683062029313414421e-01,nan
1.844999999999999973e-01,8.833965456840128239e-01,3.019516030789539673e-01,7.723190212062979176e-01,nan
1.854999999999999982e-01,8.844047153302154740e-01,3.036677197424897390e-01,7.763318394812543932e-01,nan
1.864999999999999991e-01,8.854128849764180131e-01,3.053838364060255106e-01,7.803446577562108688e-01,nan
1.875000000000000000e-01,8.864210546226206633e-01,3.070999530695612822e-01,7.843574760311674554e-01,nan
1.885000000000000009e-01,8.874292242688233134e-01,3.088160697330970539e-01,7.883702943061239310e-01,nan
1.895000000000000018e-01,8.884373939150258526e-01,3.105321863966328255e-01,7.923831125810804066e-01,nan
1.905000000000000027e-01,8.894455635612285027e-01,3.120957719708782885e-01,7.956587688778525846e-01,nan
1.915000000000000036e-01,8.904537332074310418e-01,3.135748525061418102e-01,7.987855794194516079e-01,nan
1.925000000000000044e-01,8.917510390512783935e-01,3.150539330414052763e-01,8.019123899610506312e-01,nan
1.935000000000000053e-01,8.932472690021718842e-01,3.165330135766687980e-01,8.050392005026496545e-01,nan
1.945000000000000062e-01,8.947434989530653748e-01,3.180120941119323197e-01,8.081660110442485667e-01,nan
1.955000000000000071e-01,8.962397289039589765e-01,3.194911746471957859e-01,8.112928215858475900e-01,nan
1.965000000000000080e-01,8.977359588548524671e-01,3.209702551824593075e-01,8.144196321274466133e-01,nan
1.975000000000000089e-01,8.992321888057459578e-01,3.224493357177227737e-01,8.175464426690456365e-01,nan
1.985000000000000098e-01,9.007284187566394484e-01,3.239284162529862954e-01,8.206732532106446598e-01,nan
1.995000000000000107e-01,9.022246487075330501e-01,3.254074967882498171e-01,8.238000637522436831e-01,nan
2.005000000000000115e-01,9.037208786584265408e-01,3.268865773235132832e-01,8.269268742938427064e-01,nan
2.015000000000000124e-01,9.052372284498355626e-01,3.283656578587768049e-01,8.298430362887068146e-01,nan
2.025000000000000133e-01,9.069105229128782142e-01,3.298447383940403266e-01,8.319040274276805480e-01,nan
2.035000000000000142e-01,9.085838173759209768e-01,3.313238189293037927e-01,8.339650185666542814e-01,nan
2.045000000000000151e-01,9.102571118389636284e-01,3.328028994645673144e-01,8.360260097056280149e-01,nan
2.055000000000000160e-01,9.119304063020063911e-01,3.342819799998308361e-01,8.380870008446017483e-01,nan
2.065000000000000169e-01,9.136037007650490427e-01,3.357610605350943023e-01,8.401479919835754817e-01,nan
2.075000000000000178e-01,9.152769952280918053e-01,3.372401410703578239e-01,8.422089831225492151e-01,nan
2.084999999999999909e-01,9.169502896911344569e-01,3.387192216056212901e-01,8.442699742615228375e-01,nan
2.094999999999999918e-01,9.186235841541771086e-01,3.401983021408847563e-01,8.463309654004965710e-01,nan
2.104999999999999927e-01,9.202968786172198712e-01,3.416773826761482780e-01,8.483919565394703044e-01,nan
2.114999999999999936e-01,9.219643266768029477e-01,3.431564632114117996e-01,8.504529476784440378e-01,nan
2.124999999999999944e-01,9.234775553367065015e-01,3.446972745214422207e-01,8.525139388174177713e-01,nan
2.134999999999999953e-01,9.249907839966101664e-01,3.464119749960435923e-01,8.545749299563915047e-01,nan
2.144999999999999962e-01,9.265040126565138312e-01,3.481266754706449640e-01,8.566359210953652381e-01,nan
2.154999999999999971e-01,9.280172413164174960e-01,3.498413759452462801e-01,8.593301700443880531e-01,nan
2.164999999999999980e-01,9.295304699763211609e-01,3.515560764198476518e-01,8.622088198227391143e-01,nan
2.174999999999999989e-01,9.310436986362248257e-01,3.532707768944490234e-01,8.650874696010902865e-01,nan
2.184999999999999998e-01,9.325569272961283795e-01,3.549854773690503951e-01,8.679661193794413476e-01,nan
2.195000000000000007e-01,9.340701559560320444e-01,3.567001778436517667e-01,8.708447691577925198e-01,nan
2.205000000000000016e-01,9.355833846159357092e-01,3.584148783182530829e-01,8.737234189361436920e-01,nan
2.215000000000000024e-01,9.370966132758393741e-01,3.601295787928544545e-01,8.766020687144947532e-01,nan
2.225000000000000033e-01,9.386098419357430389e-01,3.618442792674558262e-01,8.794807184928459254e-01,nan
2.235000000000000042e-01,9.401230705956465927e-01,3.635589797420571978e-01,8.823593682711970976e-01,nan
2.245000000000000051e-01,9.414904933544540055e-01,3.652736802166585695e-01,8.852380180495481587e-01,nan
2.255000000000000060e-01,9.428467450010890039e-01,3.669883806912598856e-01,8.883735787132323036e-01,nan
2.265000000000000069e-01,9.442029966477241132e-01,3.687030811658612572e-01,8.915793035098309449e-01,nan
2.275000000000000078e-01,9.455592482943592225e-01,3.704177816404626289e-01,8.947850283064295862e-01,nan
2.285000000000000087e-01,9.469154999409943319e-01,3.721324821150640005e-01,8.979907531030281165e-01,nan
2.295000000000000095e-01,9.482717515876293302e-01,3.738471825896653722e-01,9.011964778996267578e-01,nan
2.305000000000000104e-01,9.496280032342644395e-01,3.755618830642666883e-01,9.044022026962253991e-01,nan
2.315000000000000113e-01,9.509842548808995488e-01,3.772765835388680600e-01,9.076079274928239293e-01,nan
2.325000000000000122e-01,9.523405065275346582e-01,3.782734316220974780e-01,9.108136522894225706e-01,nan
2.335000000000000131e-01,9.536967581741696565e-01,3.790724596643973987e-01,9.140193770860212119e-01,nan
2.345000000000000140e-01,9.551522992958916269e-01,3.798714877066972639e-01,9.179936400222796777e-01,nan
2.355000000000000149e-01,9.566102067617741067e-01,3.806705157489971847e-01,9.272806781880816862e-01,nan
2.365000000000000158e-01,9.580681142276564755e-01,3.814695437912970499e-01,9.365677163538838057e-01,nan
2.375000000000000167e-01,9.595260216935388442e-01,3.822685718335969707e-01,9.458547545196859252e-01,nan
2.385000000000000175e-01,9.609839291594213240e-01,3.830675998758968359e-01,9.551417926854879337e-01,nan
2.395000000000000184e-01,9.622723024780092116e-01,3.838666279181967567e-01,9.622723024780092116e-01,9.622723024780092116e-01
2.404999999999999916e-01,9.630622135401227801e-01,3.846656559604966219e-01,9.630622135401227801e-01,9.630622135401227801e-01
2.414999999999999925e-01,9.638521246022363487e-01,3.854646840027964871e-01,9.638521246022363487e-01,9.638521246022363487e-01
2.424999999999999933e-01,9.646420356643500282e-01,3.862233943030654593e-01,9.646420356643500282e-01,9.646420356643500282e-01
2.434999999999999942e-01,9.654319467264635968e-01,3.869734723737378035e-01,9.654319467264635968e-01,9.654319467264635968e-01
